Context,Question,Label
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ্বকাপ এবং ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",পঞ্চম বিশ্বকাপ কবে অনুষ্ঠিত হয়?,প্রাসঙ্গিক
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ্বকাপ এবং ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",কবে ওলিম্পিক্স অনুষ্ঠিত হয়?,অপ্রাসঙ্গিক
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ্বকাপ এবং ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",১৯৯২ সালে কত তম বিশ্বকাপ অনুষ্ঠিত হয়?,প্রাসঙ্গিক
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ্বকাপ এবং ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",১৯৯২ সালে কত তম ওলিম্পিক্স অনুষ্ঠিত হয়?,অপ্রাসঙ্গিক
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ্বকাপ এবং ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",ষষ্ঠ বিশ্বকাপ কবে অনুষ্ঠিত হয়?,প্রাসঙ্গিক
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ্বকাপ এবং ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",কবে ষষ্ঠ ওলিম্পিক্স অনুষ্ঠিত হয়?,অপ্রাসঙ্গিক
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ্বকাপ এবং ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",সপ্তম বিশ্বকাপ কবে অনুষ্ঠিত হয়?,প্রাসঙ্গিক
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ^কাপ এবঙ ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",,অপ্রাসঙ্গিক
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ্বকাপ এবং ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",নবম বিশ্বকাপ কোথায় অনুষ্ঠিত হয়?,প্রাসঙ্গিক
" ১৯৯২ সালে অস্ট্রেলিয়া ও নিউজিল্যান্ড অনুষ্ঠিত পঞ্চম বিশ্বকাপ ক্রিকেটে চ্যাম্পিয়ন হয় পাকিস্তান। ১৯৯৬ সালে পাকিস্তান, ভারত ও শ্রীলংকায় যৌথভাবে অনুষ্ঠিত যষ্ঠ বিশ্বকাপ ক্রিকেট চ্যাম্পিয়ন হয় শ্রীলংকা। ১৯৯৯ সালে ইংল্যান্ড অনুষ্ঠিত সপ্তম বিশ্বকাপ, ২০০৩ সালে দক্ষিণ আফ্রিকায় অনুষ্ঠিত অষ্টম বিশ্বকাপ  এবং ২০০৭ সালে ওয়েস্ট ইন্ডিজে অনুষ্ঠিত নবম বিশ্বকাপ জয় করে অস্ট্রেলিয়া।",নবম ওলিম্পিক্স কোথায় অনুষ্ঠিত হয়?,অপ্রাসঙ্গিক
